#{"t_start": 1742082406.4157991, "env_id": "None"}
r,l,t
-124.266017,100,26.984585
-91.100669,100,30.870397
-117.673025,100,34.758086
-76.691634,100,38.847896
-75.532381,100,42.700502
-107.744253,100,46.340421
-53.033759,100,50.002064
-117.374521,100,53.624118
-73.740994,100,57.367191
-82.683172,100,61.047322
-112.281367,100,64.724053
-116.845995,100,68.505132
-91.267677,100,72.313139
-103.176501,100,76.081535
-86.114409,100,79.811723
-91.357814,100,83.552671
-108.661018,100,87.675923
-119.525815,100,91.538661
-114.704911,100,95.340034
-114.574799,100,99.224914
-112.208865,100,103.084084
-117.083591,100,106.915739
-134.668964,100,110.765097
-114.979872,100,114.861052
-119.621642,100,119.120778
-53.20725,100,123.172189
-118.838042,100,126.996789
-109.378222,100,130.908308
-68.011157,100,134.817221
-101.416542,100,138.784519
-117.518591,100,142.943075
-90.207891,100,146.768202
-123.275363,100,151.077331
-67.585519,100,155.129613
-122.336033,100,159.507624
-120.378396,100,163.707061
-118.094844,100,167.945005
-110.435457,100,172.028682
-95.788048,100,176.193316
-111.907214,100,180.382276
-77.314037,100,184.139129
-133.934202,100,188.136492
-109.939623,100,192.481801
-94.904738,100,196.347694
-112.648144,100,200.215132
-106.01949,100,204.009871
-100.5816,100,207.919613
-105.211588,100,211.748506
-124.101009,100,215.756548
-109.78061,100,220.048859
-117.805786,100,236.382493
-89.451486,100,240.690193
-103.940573,100,245.035199
-123.635001,100,249.555892
-115.295742,100,253.856153
-101.510799,100,258.236454
-120.049677,100,262.605526
-107.726679,100,266.950972
-114.438,100,271.303205
-91.670484,100,275.63312
-116.693628,100,279.925803
-115.658461,100,284.424237
-118.222299,100,288.873981
-77.269053,100,293.536579
-83.391337,100,298.032992
-115.976332,100,301.908708
-81.004469,100,305.912443
-108.114615,100,310.203449
-131.781652,100,314.093287
-98.467291,100,318.150563
-128.43633,100,322.284045
-112.54681,100,326.66481
-106.840329,100,331.061651
-114.001576,100,335.367214
-116.798979,100,339.703373
-117.148184,100,344.207728
-86.943969,100,348.593026
-103.968349,100,353.049735
-92.683498,100,357.376162
-101.519391,100,361.67543
-113.227874,100,366.230362
-125.159647,100,372.629784
-69.688662,100,378.387398
-98.571352,100,384.437932
-82.390864,100,390.582425
-109.014277,100,398.314184
-113.111832,100,403.119852
-122.261763,100,407.125184
-116.941062,100,411.800121
-90.373561,100,415.86622
-79.456449,100,420.013887
-118.545705,100,423.925147
-121.093176,100,427.885651
-117.746188,100,431.755557
-116.628636,100,435.664874
-74.330651,100,439.536951
-118.978375,100,443.437493
-110.908488,100,447.417672
-80.377737,100,451.282083
-116.032884,100,455.144468
-124.850101,100,470.940291
-104.116671,100,474.886712
-105.996357,100,478.97533
-103.480395,100,483.270841
-119.990382,100,487.181541
-111.748016,100,491.247959
-108.4046,100,495.484022
-118.159904,100,500.112874
-102.397464,100,503.977371
-100.609176,100,507.917053
-58.713483,100,511.754961
-117.837291,100,515.602121
-76.208807,100,519.505019
-105.650969,100,523.615963
-106.681734,100,527.51272
-84.454426,100,531.662982
-88.673308,100,535.590816
-78.69272,100,539.487741
-86.17767,100,543.614043
-71.218124,100,547.935703
-119.566289,100,551.819947
-119.890319,100,555.699843
-84.900087,100,559.548333
-105.957275,100,563.488579
-113.950283,100,567.682092
-120.31283,100,571.567999
-112.649396,100,575.431752
-122.958517,100,579.33535
-112.673787,100,583.407135
-101.557035,100,587.333341
-94.16826,100,591.250102
-121.175785,100,595.198177
-79.101451,100,599.075863
-98.924854,100,602.918515
-112.672551,100,607.627421
-121.244155,100,611.980196
-85.688097,100,616.292919
-82.981327,100,620.419101
-101.871845,100,625.764994
-63.822542,100,630.300232
-114.943152,100,635.47102
-80.705065,100,640.7279
-64.258524,100,645.202572
-100.318788,100,649.532048
-112.801754,100,654.332431
-60.823135,100,658.588923
-108.133924,100,662.819828
-108.654826,100,666.934629
-95.861311,100,671.140259
-68.608127,100,675.155642
-75.501272,100,691.693476
-93.867456,100,695.744363
-110.194834,100,700.023058
-78.955795,100,704.198266
-100.220903,100,708.165158
-114.243465,100,712.090089
-64.788444,100,716.015484
-80.659231,100,719.86275
-103.739249,100,723.806898
-113.954439,100,727.75162
-76.675136,100,731.630862
-108.148321,100,735.468518
-72.938803,100,739.343888
-87.737453,100,743.187199
-110.43645,100,747.10947
-116.372589,100,750.994699
-109.70235,100,754.855479
-59.424504,100,758.747993
-112.878594,100,762.667887
-88.139955,100,766.709183
-69.237164,100,770.861128
-92.860897,100,775.047231
-112.209209,100,779.084301
-62.710899,100,783.134689
-94.859183,100,787.422619
-126.947182,100,792.198303
-107.043159,100,796.626358
-72.413405,100,801.077811
-102.46516,100,805.312632
-114.699267,100,809.505988
-118.891315,100,814.804746
-118.03176,100,819.359777
-116.671937,100,823.411111
-106.976346,100,828.02508
-110.397565,100,832.206699
-115.484382,100,836.120699
-114.041624,100,840.111057
-73.655172,100,844.624994
-68.633347,100,848.558566
-105.70012,100,852.415752
-98.916939,100,856.259735
-95.541697,100,860.139507
-61.850767,100,864.202453
-93.235871,100,868.065545
-87.169809,100,872.092871
-87.800083,100,876.349112
-89.938197,100,880.220016
-86.66719,100,884.079352
-100.918763,100,888.130875
-89.30578,100,892.271796
-85.819209,100,908.273735
-58.216564,100,912.553055
-102.16474,100,916.992002
-86.257482,100,921.321905
-68.252648,100,925.790104
-106.251999,100,930.426484
-107.298027,100,934.675017
-93.468394,100,938.74742
