#{"t_start": 1742082403.8076365, "env_id": "None"}
r,l,t
-114.053802,100,29.592748
-87.006067,100,33.47856
-95.521493,100,37.366249
-114.716288,100,41.454489
-123.511438,100,45.308664
-104.822647,100,48.948583
-117.63451,100,52.609723
-118.698551,100,56.233306
-93.335363,100,59.977877
-114.825174,100,63.655994
-101.757796,100,67.332216
-119.232856,100,71.113295
-111.063324,100,74.921302
-94.131778,100,78.689697
-112.578907,100,82.419886
-78.908201,100,86.160329
-92.492357,100,90.28459
-88.677981,100,94.147327
-120.623406,100,97.947681
-113.897463,100,101.835099
-117.28908,100,105.692247
-120.980215,100,109.523902
-107.916723,100,113.376278
-110.625956,100,117.469214
-111.143024,100,121.72894
-67.504687,100,125.778842
-63.135998,100,129.603891
-109.68711,100,133.516471
-117.679174,100,137.425384
-75.702445,100,141.392681
-126.323064,100,145.551784
-102.316418,100,149.376364
-71.696471,100,153.684977
-87.424509,100,157.737776
-69.191207,100,162.115264
-120.822805,100,166.312686
-102.664848,100,170.553681
-118.897337,100,174.63886
-115.667962,100,178.801479
-120.639198,100,182.990438
-113.087354,100,186.746776
-93.784786,100,190.744655
-90.15568,100,195.089435
-59.868499,100,198.955856
-85.923416,100,202.820778
-112.300987,100,206.619541
-106.090308,100,210.527775
-113.368212,100,214.357694
-104.506795,100,218.364187
-96.396719,100,222.657537
-125.239807,100,238.990135
-117.423634,100,243.298356
-112.329015,100,247.643361
-116.374002,100,252.162532
-126.323959,100,256.464316
-123.484587,100,260.8441
-104.148935,100,265.213182
-129.688298,100,269.559135
-112.499999,100,273.911368
-114.3585,100,278.240753
-120.528131,100,282.533966
-97.827345,100,287.0324
-82.462856,100,291.482144
-114.899585,100,296.14422
-114.535073,100,300.641665
-132.271396,100,304.516871
-101.905356,100,308.520606
-85.248719,100,312.811612
-122.514811,100,316.701449
-121.245234,100,320.758725
-122.73244,100,324.895232
-93.057636,100,329.272973
-81.666065,100,333.667256
-131.85614,100,337.974852
-106.783826,100,342.311536
-103.721814,100,346.815375
-117.087902,100,351.201189
-108.481075,100,355.657897
-90.431626,100,359.984325
-113.271374,100,364.283072
-108.423021,100,368.837982
-110.325767,100,375.229917
-105.998889,100,380.99659
-118.402089,100,387.048622
-109.964755,100,393.190587
-105.030362,100,400.922347
-78.890867,100,405.728015
-100.165017,100,409.734396
-111.95001,100,414.407763
-73.010679,100,418.475392
-102.768879,100,422.625075
-82.675044,100,426.531795
-122.838415,100,430.491302
-94.150407,100,434.365262
-88.02899,100,438.272511
-122.013369,100,442.145114
-111.704808,100,446.045656
-69.460194,100,450.023312
-114.211769,100,453.888732
-118.942104,100,457.75263
-112.405026,100,473.548454
-66.240088,100,477.494874
-100.47361,100,481.581453
-79.004606,100,485.879004
-103.751018,100,489.789704
-109.011422,100,493.857148
-104.658627,100,498.094717
-107.664869,100,502.721036
-125.71209,100,506.585534
-112.112433,100,510.526242
-108.981973,100,514.363124
-95.169703,100,518.210791
-88.867575,100,522.113182
-85.523134,100,526.224643
-70.598909,100,530.120883
-94.317106,100,534.274163
-82.95381,100,538.199498
-73.495349,100,542.095904
-89.523507,100,546.219661
-111.57538,100,550.543866
-107.19548,100,554.42759
-114.94492,100,558.306971
-101.79148,100,562.156496
-97.411179,100,566.096742
-85.714006,100,570.290255
-64.009629,100,574.176162
-108.761951,100,578.040434
-115.625411,100,581.943513
-86.477278,100,586.016335
-92.675667,100,589.943052
-92.945464,100,593.858265
-112.154926,100,597.806859
-103.734842,100,601.684026
-130.894575,100,605.526677
-105.200624,100,610.235583
-123.414712,100,614.588358
-118.176783,100,618.901082
-100.68789,100,623.029782
-98.480365,100,628.373156
-101.411712,100,632.908394
-117.317199,100,638.078656
-84.786616,100,643.337104
-96.005829,100,647.810218
-71.052986,100,652.138656
-111.523268,100,656.940065
-92.056333,100,661.195546
-113.412222,100,665.430065
-65.206474,100,669.542792
-74.443339,100,673.745904
-110.989929,100,677.763804
-102.161988,100,694.301639
-109.803903,100,698.352021
-105.333669,100,702.631221
-104.717188,100,706.806429
-102.418485,100,710.77332
-92.622248,100,714.698776
-75.984731,100,718.623646
-102.292382,100,722.469907
-78.309652,100,726.415061
-110.725631,100,730.359782
-95.422921,100,734.239024
-100.148732,100,738.075659
-108.922969,100,741.952562
-103.558167,100,745.795362
-90.022219,100,749.716102
-59.613508,100,753.602862
-79.861966,100,757.463642
-122.970086,100,761.356156
-107.923764,100,765.278125
-91.183865,100,769.316328
-75.200616,100,773.469291
-87.69532,100,777.655394
-110.967367,100,781.691434
-72.002248,100,785.743377
-95.260596,100,790.030782
-82.8161,100,794.806466
-91.99346,100,799.234521
-113.391842,100,803.686515
-84.686308,100,807.919771
-102.501294,100,812.111606
-31.487714,100,817.412909
-124.625843,100,821.969467
-113.046676,100,826.019791
-68.31313,100,830.633243
-91.973141,100,834.814862
-125.650719,100,838.72733
-91.956562,100,842.71718
-99.06138,100,847.234178
-71.019665,100,851.166728
-95.95325,100,855.023915
-80.347707,100,858.868925
-100.125984,100,862.744665
-52.70059,100,866.810098
-108.956428,100,870.673707
-89.496774,100,874.703906
-92.079526,100,878.957275
-56.568766,100,882.828178
-55.0597,100,886.687515
-77.686205,100,890.739542
-109.923304,100,894.879959
-75.948152,100,910.879867
-64.058583,100,915.161218
-83.624315,100,919.599159
-81.646013,100,923.928052
-73.120228,100,928.398267
-111.427841,100,933.035668
-91.406471,100,937.284224
-98.46248,100,941.357618
