#{"t_start": 1742082416.9357736, "env_id": "None"}
r,l,t
-129.566341,100,16.464611
-92.56942,100,20.348905
-94.196036,100,24.237596
-81.645931,100,28.325846
-108.59684,100,32.180527
-103.086357,100,35.820446
-116.83481,100,39.48209
-123.667877,100,43.104657
-104.878558,100,46.84974
-88.806258,100,50.527857
-99.314525,100,54.204597
-74.161073,100,57.985158
-118.429802,100,61.791649
-119.139562,100,65.56156
-123.955341,100,69.291749
-124.551927,100,73.032192
-114.504905,100,77.157459
-114.142194,100,81.01919
-94.11488,100,84.82006
-119.776438,100,88.706962
-119.3262,100,92.56411
-106.485793,100,96.395765
-100.626347,100,100.24763
-110.243708,100,104.341077
-119.35926,100,108.600803
-105.701807,100,112.652214
-121.885383,100,116.477336
-86.529992,100,120.388844
-116.01684,100,124.297247
-112.901197,100,128.264544
-117.240817,100,132.425677
-105.745308,100,136.24925
-119.084286,100,140.557357
-92.325182,100,144.609108
-89.634236,100,148.988171
-74.220293,100,153.186561
-109.200843,100,157.424513
-117.984593,100,161.510723
-131.119336,100,165.673342
-60.212866,100,169.863306
-120.071213,100,173.619155
-122.875877,100,177.617044
-92.05279,100,181.961827
-91.305281,100,185.823692
-113.656498,100,189.69465
-113.917179,100,193.489896
-113.07482,100,197.399638
-97.538185,100,201.229043
-117.419594,100,205.236573
-120.754309,100,209.527377
-116.019448,100,225.861478
-114.212395,100,230.170218
-120.564035,100,234.515224
-78.934856,100,239.036428
-122.764906,100,243.336179
-110.019631,100,247.71648
-98.076894,100,252.085552
-110.753585,100,256.432012
-86.811822,100,260.783739
-131.954679,100,265.113146
-110.332859,100,269.405829
-106.838634,100,273.904263
-123.064741,100,278.354007
-121.46423,100,283.016605
-86.784485,100,287.513018
-119.616502,100,291.388212
-135.696413,100,295.391947
-119.784415,100,299.681931
-93.676352,100,303.573312
-131.742315,100,307.630588
-107.497142,100,311.767605
-74.574841,100,316.144835
-97.740019,100,320.54013
-91.088269,100,324.84724
-105.829484,100,329.183398
-112.462647,100,333.687753
-118.745275,100,338.073575
-118.209538,100,342.528219
-118.724193,100,346.856188
-114.672924,100,351.154426
-127.904937,100,355.709845
-83.706137,100,362.109809
-99.227659,100,367.868453
-110.149771,100,373.920485
-84.567241,100,380.062987
-108.100734,100,387.793697
-110.895362,100,392.599878
-114.86136,100,396.60521
-81.840805,100,401.279626
-78.977681,100,405.347255
-96.171657,100,409.494923
-114.871637,100,413.403658
-108.349634,100,417.365676
-121.598875,100,421.237125
-82.055705,100,425.144899
-115.806346,100,429.015941
-111.369213,100,432.917519
-116.857605,100,436.897698
-112.616868,100,440.762108
-98.404709,100,444.62502
-65.168663,100,460.420317
-110.399292,100,464.366737
-75.138892,100,468.454324
-105.386787,100,472.750359
-109.373293,100,476.661567
-60.198724,100,480.729011
-119.949021,100,484.96658
-72.766346,100,489.593406
-121.063566,100,493.457397
-110.841435,100,497.398105
-87.96718,100,501.234987
-70.95489,100,505.082654
-102.711028,100,508.985045
-120.130985,100,513.096506
-102.156002,100,516.992745
-107.603894,100,521.146026
-102.916858,100,525.071361
-104.10545,100,528.967767
-110.514902,100,533.094069
-103.789655,100,537.415729
-89.592046,100,541.301011
-119.975967,100,545.179869
-107.687626,100,549.028358
-120.956324,100,552.966557
-81.678724,100,557.161601
-84.286402,100,561.048025
-112.444171,100,564.912297
-128.821733,100,568.814354
-99.016729,100,572.888198
-105.042306,100,576.814914
-120.705379,100,580.730128
-86.93487,100,584.678722
-107.429993,100,588.555889
-108.09634,100,592.39854
-94.105768,100,597.107446
-119.075317,100,601.460221
-104.432113,100,605.772945
-81.266348,100,609.901644
-101.896414,100,615.242989
-126.190979,100,619.780257
-122.559243,100,624.951046
-102.091029,100,630.207926
-99.892752,100,634.681566
-60.628126,100,639.012073
-109.532462,100,643.811928
-81.168647,100,648.068949
-122.012647,100,652.300374
-100.894608,100,656.414655
-98.07162,100,660.619776
-90.497602,100,664.635667
-128.385628,100,681.173502
-98.537655,100,685.224388
-69.502827,100,689.503606
-79.989611,100,693.676759
-102.322087,100,697.645183
-106.195109,100,701.570639
-82.19794,100,705.496543
-87.99769,100,709.342775
-106.593472,100,713.286924
-75.029273,100,717.231645
-96.442936,100,721.110384
-80.66186,100,724.948544
-111.867011,100,728.824425
-72.743812,100,732.667225
-49.328175,100,736.588984
-88.695379,100,740.474725
-94.143963,100,744.335505
-84.066777,100,748.228019
-106.26607,100,752.149988
-87.009689,100,756.189209
-104.48182,100,760.341154
-65.061786,100,764.526746
-102.522397,100,768.563297
-59.601177,100,772.61524
-100.658035,100,776.902644
-106.46606,100,781.675808
-126.924545,100,786.106384
-92.368103,100,790.558378
-51.70199,100,794.792658
-95.806675,100,798.986014
-117.524567,100,804.283765
-127.997872,100,808.84133
-111.981423,100,812.892169
-116.245821,100,817.505106
-84.184113,100,821.686724
-102.643507,100,825.600725
-132.457606,100,829.592596
-111.658564,100,834.10553
-100.936867,100,838.038591
-91.382193,100,841.895777
-109.044875,100,845.739761
-55.967097,100,849.619533
-103.918774,100,853.682478
-108.608615,100,857.54557
-94.897389,100,861.576295
-61.700485,100,865.828118
-57.636578,100,869.69847
-79.715558,100,873.557852
-51.854075,100,877.6109
-96.772404,100,881.751822
-82.255295,100,897.75376
-105.399975,100,902.033081
-90.663401,100,906.471022
-89.699651,100,910.800923
-90.070254,100,915.270129
-83.468884,100,919.907531
-78.664965,100,924.156087
-72.016499,100,928.229991
