#{"t_start": 1742082422.1515734, "env_id": "None"}
r,l,t
-82.956497,100,11.248811
-92.645176,100,15.134623
-110.776487,100,19.022312
-89.962517,100,23.111071
-88.200679,100,26.964217
-115.964602,100,30.604646
-113.860621,100,34.26629
-70.643791,100,37.889369
-88.271465,100,41.63394
-73.156346,100,45.312057
-108.774101,100,48.987273
-73.448011,100,52.769358
-112.45888,100,56.576361
-81.78957,100,60.346276
-110.376575,100,64.075949
-84.611314,100,67.816896
-118.544304,100,71.941659
-110.322673,100,75.803391
-119.204036,100,79.60426
-93.309232,100,83.491163
-97.772546,100,87.34831
-120.387636,100,91.179965
-111.228883,100,95.032341
-93.129672,100,99.125277
-113.837886,100,103.385533
-102.836681,100,107.436414
-85.635457,100,111.258938
-64.60248,100,115.173044
-116.703247,100,119.081447
-129.532355,100,123.048744
-75.302181,100,127.209877
-113.602342,100,131.03345
-104.116566,100,135.340529
-92.886387,100,139.393839
-88.658711,100,143.772371
-112.591629,100,147.971286
-121.946854,100,152.209744
-115.670698,100,156.294923
-77.548318,100,160.457542
-117.429463,100,164.647506
-121.741752,100,168.400811
-73.09136,100,172.400718
-119.758665,100,176.746027
-119.403198,100,180.612425
-128.296587,100,184.479357
-103.213243,100,188.276121
-120.905699,100,192.183838
-104.50875,100,196.013243
-118.436658,100,200.020773
-86.33723,100,204.3136
-92.422262,100,220.646719
-114.778523,100,224.954419
-103.205961,100,229.299424
-93.937565,100,233.819105
-97.774408,100,238.120379
-77.617092,100,242.50068
-66.835819,100,246.869752
-126.860282,100,251.217728
-119.972379,100,255.567939
-103.649528,100,259.895293
-124.503044,100,264.187497
-83.565488,100,268.687454
-116.618872,100,273.138207
-119.948497,100,277.799763
-84.89898,100,282.297218
-116.374183,100,286.172934
-121.116343,100,290.176147
-108.080109,100,294.467675
-84.53561,100,298.357512
-105.567356,100,302.414268
-108.645754,100,306.551805
-107.207099,100,310.929563
-120.996317,100,315.325876
-117.612338,100,319.63144
-107.310822,100,323.966572
-108.866146,100,328.471954
-95.998583,100,332.857776
-103.315113,100,337.313961
-114.417632,100,341.640388
-89.858163,100,345.939135
-104.970664,100,350.493004
-121.825527,100,356.894009
-108.862732,100,362.652132
-117.703516,100,368.705192
-105.084569,100,374.84665
-115.23662,100,382.577897
-108.1316,100,387.384078
-110.1412,100,391.38941
-77.432876,100,396.064347
-83.63804,100,400.131455
-121.035748,100,404.281138
-79.27473,100,408.189898
-87.195302,100,412.149877
-49.440481,100,416.021325
-115.816175,100,419.9291
-121.476224,100,423.801177
-80.837961,100,427.701719
-117.956236,100,431.681898
-102.189461,100,435.546309
-122.124314,100,439.40922
-128.785058,100,455.204517
-69.411363,100,459.150937
-70.176451,100,463.239033
-78.546705,100,467.535067
-73.137271,100,471.445767
-117.569548,100,475.513211
-115.170119,100,479.750266
-108.741334,100,484.377607
-94.117235,100,488.241597
-129.265986,100,492.182305
-106.387535,100,496.019187
-116.028864,100,499.866854
-83.156765,100,503.769245
-127.081731,100,507.880706
-87.43769,100,511.776946
-96.090481,100,515.930226
-96.377634,100,519.855042
-57.033658,100,523.751446
-120.716009,100,527.878269
-108.615359,100,532.19792
-103.428996,100,536.085211
-97.371168,100,539.964069
-94.872475,100,543.812559
-106.207355,100,547.753327
-71.696573,100,551.946318
-113.699306,100,555.832225
-125.463478,100,559.696497
-60.586316,100,563.599576
-113.233578,100,567.672399
-57.376321,100,571.599115
-105.087231,100,575.514851
-113.613452,100,579.460363
-102.307684,100,583.340597
-98.527011,100,587.18274
-92.802051,100,591.891125
-105.430782,100,596.243388
-126.25329,100,600.556628
-86.929135,100,604.685845
-63.254192,100,610.028703
-99.441226,100,614.564989
-80.423112,100,619.735246
-106.05267,100,624.993167
-81.489871,100,629.466797
-99.658895,100,633.796273
-105.634765,100,638.596657
-96.273865,100,642.853149
-111.87695,100,647.086128
-96.240278,100,651.197838
-79.920543,100,655.403976
-101.269041,100,659.4204
-104.573941,100,675.958727
-113.840752,100,680.006576
-110.963959,100,684.287806
-100.336706,100,688.462492
-103.714244,100,692.429383
-79.988988,100,696.355362
-114.286069,100,700.281256
-98.085165,100,704.125458
-110.880891,100,708.070091
-97.766336,100,712.014338
-88.488152,100,715.895087
-116.051229,100,719.733749
-53.748014,100,723.607601
-95.408702,100,727.451939
-105.597743,100,731.371661
-80.152933,100,735.258925
-90.385973,100,739.118684
-68.337627,100,743.01071
-119.662721,100,746.933665
-48.952204,100,750.973409
-59.674022,100,755.125354
-61.830651,100,759.311457
-93.575759,100,763.348527
-103.195777,100,767.396848
-88.795768,100,771.687364
-122.684381,100,776.458988
-121.027373,100,780.890584
-89.647198,100,785.342578
-104.473099,100,789.576858
-106.207813,100,793.768681
-115.704154,100,799.069478
-116.272258,100,803.62553
-82.749825,100,807.676369
-132.859028,100,812.289306
-122.224579,100,816.470925
-113.309304,100,820.383903
-111.810257,100,824.376796
-115.800799,100,828.887195
-92.868338,100,832.822792
-90.943324,100,836.679978
-72.042432,100,840.525509
-95.63093,100,844.403733
-99.966192,100,848.466161
-96.56858,100,852.329771
-61.296181,100,856.360495
-43.435403,100,860.613338
-76.057552,100,864.484241
-87.261297,100,868.343578
-87.197201,100,872.3951
-52.984915,100,876.536022
-64.822694,100,892.537439
-51.423316,100,896.817281
-83.244862,100,901.255222
-83.736899,100,905.586649
-63.403485,100,910.05433
-77.669932,100,914.691221
-62.969113,100,918.940287
-86.449912,100,923.012654
