#{"t_start": 1742082396.1918657, "env_id": "None"}
r,l,t
-101.952646,100,37.208519
-104.280816,100,41.094331
-124.351787,100,44.982019
-114.037685,100,49.072351
-75.791537,100,52.921897
-79.224408,100,56.564354
-96.496964,100,60.225494
-122.181178,100,63.848051
-115.678512,100,67.593648
-116.630715,100,71.271255
-104.289273,100,74.947987
-104.944366,100,78.729066
-120.739536,100,82.537073
-121.1133,100,86.304955
-80.963197,100,90.035656
-119.25368,100,93.775096
-126.819989,100,97.901367
-81.126327,100,101.763098
-126.774616,100,105.561937
-116.044908,100,109.45087
-91.651096,100,113.308017
-126.138747,100,117.139673
-118.184483,100,120.989031
-78.321387,100,125.083457
-102.816568,100,129.342194
-108.561326,100,133.396122
-97.011003,100,137.220172
-116.341326,100,141.131728
-117.22647,100,145.041155
-115.916536,100,149.007948
-98.57486,100,153.167009
-70.779497,100,156.993158
-102.315205,100,161.300748
-127.404786,100,165.353016
-116.502787,100,169.731557
-114.665497,100,173.930469
-116.744369,100,178.167412
-76.583759,100,182.254631
-109.097011,100,186.41725
-125.315979,100,190.607214
-120.99187,100,194.362547
-81.846689,100,198.360426
-118.474067,100,202.702163
-96.147075,100,206.571627
-109.871424,100,210.436549
-102.709723,100,214.235312
-109.335547,100,218.143546
-116.132769,100,221.973465
-116.388664,100,225.979958
-116.031348,100,230.272792
-73.545683,100,246.606427
-117.136913,100,250.913098
-118.116534,100,255.259132
-125.180145,100,259.777287
-111.126111,100,264.079579
-81.149461,100,268.460387
-113.294912,100,272.828953
-113.711888,100,277.177436
-106.313312,100,281.527139
-90.53587,100,285.856524
-117.890692,100,290.149737
-111.142037,100,294.646644
-106.664932,100,299.097393
-119.135234,100,303.760513
-116.506091,100,308.257436
-116.300169,100,312.132642
-110.987578,100,316.136377
-71.106532,100,320.426868
-75.262945,100,324.31621
-117.339961,100,328.374496
-112.459444,100,332.511003
-84.99106,100,336.888743
-100.513335,100,341.285584
-119.157199,100,345.590623
-116.071526,100,349.927306
-87.434833,100,354.431661
-113.400111,100,358.816454
-71.192432,100,363.272633
-77.944686,100,367.600096
-95.252006,100,371.897324
-105.872617,100,376.453234
-114.970915,100,382.853199
-111.663104,100,388.61184
-70.051665,100,394.664392
-122.638658,100,400.806358
-112.356117,100,408.538118
-92.233387,100,413.343786
-122.086199,100,417.350167
-119.938715,100,422.023015
-103.181512,100,426.091163
-90.370651,100,430.240846
-113.766624,100,434.149081
-114.450007,100,438.106565
-79.709448,100,441.980005
-113.60305,100,445.887244
-111.858563,100,449.758339
-67.784594,100,453.661427
-109.308082,100,457.640596
-117.730363,100,461.506016
-111.560685,100,465.368401
-110.972183,100,481.164225
-88.213427,100,485.110645
-75.353807,100,489.199263
-124.551177,100,493.492262
-112.652378,100,497.40445
-107.319861,100,501.472919
-113.738156,100,505.708459
-80.82053,100,510.336807
-81.682694,100,514.201304
-77.014856,100,518.142013
-103.457089,100,521.978387
-112.924063,100,525.826054
-86.498764,100,529.728953
-66.851166,100,533.840414
-112.035346,100,537.733638
-81.148285,100,541.889934
-78.525556,100,545.813213
-82.794683,100,549.711675
-82.611262,100,553.837458
-72.062915,100,558.159637
-107.757446,100,562.04388
-98.08982,100,565.923777
-111.189736,100,569.772266
-104.892913,100,573.712512
-98.887239,100,577.906026
-113.206943,100,581.791933
-97.679706,100,585.655169
-74.577612,100,589.559284
-109.180772,100,593.629554
-105.719132,100,597.558822
-64.897988,100,601.474036
-103.800282,100,605.42263
-87.774231,100,609.299797
-119.495394,100,613.142448
-101.628641,100,617.850317
-101.932059,100,622.203604
-112.96225,100,626.516853
-100.928427,100,630.645552
-62.056261,100,635.988927
-74.418071,100,640.523657
-116.336618,100,645.694427
-99.712301,100,650.952354
-54.097613,100,655.426505
-101.997155,100,659.755981
-124.94492,100,664.555836
-107.112796,100,668.812856
-103.586626,100,673.044798
-100.54268,100,677.158563
-82.113537,100,681.361675
-72.391635,100,685.379575
-93.123915,100,701.917915
-99.364582,100,705.968819
-75.278555,100,710.247514
-90.049267,100,714.42118
-113.287148,100,718.389091
-65.156264,100,722.314547
-108.270427,100,726.240964
-97.888745,100,730.086683
-113.012931,100,734.030832
-115.892762,100,737.97353
-89.844113,100,741.854795
-107.995928,100,745.693456
-91.669726,100,749.568333
-87.450248,100,753.41062
-87.214358,100,757.332892
-92.549055,100,761.218632
-68.14856,100,765.077879
-96.104347,100,768.971927
-79.912535,100,772.893896
-96.159696,100,776.932603
-91.656276,100,781.085062
-94.024008,100,785.268624
-107.39961,100,789.308234
-92.106126,100,793.358623
-110.157925,100,797.646552
-105.99564,100,802.419199
-65.432527,100,806.849775
-96.030424,100,811.301233
-68.951913,100,815.536057
-95.248852,100,819.729922
-78.232204,100,825.027159
-122.478794,100,829.585238
-95.577987,100,833.636076
-80.635887,100,838.249014
-92.296999,100,842.430632
-63.118609,100,846.344121
-65.167633,100,850.336504
-131.679961,100,854.849438
-83.072445,100,858.779977
-86.879285,100,862.639685
-106.961106,100,866.484695
-122.212404,100,870.363441
-49.961759,100,874.425869
-92.423415,100,878.289478
-113.899784,100,882.319677
-117.681301,100,886.572536
-77.463995,100,890.442904
-83.93727,100,894.303285
-83.34008,100,898.355313
-98.208172,100,902.49573
-83.448437,100,918.497668
-68.69265,100,922.776476
-66.621414,100,927.215935
-86.493899,100,931.545839
-102.157668,100,936.014037
-90.618734,100,940.649386
-57.51769,100,944.899995
-116.355183,100,948.973899
