#{"t_start": 1742082398.717242, "env_id": "None"}
r,l,t
-111.890596,100,34.683142
-103.789424,100,38.566919
-88.545503,100,42.456643
-116.534949,100,46.546975
-118.072209,100,50.398548
-70.793537,100,54.038978
-73.062108,100,57.700117
-97.507077,100,61.3237
-116.368892,100,65.068271
-106.444015,100,68.74537
-99.521971,100,72.42261
-109.164588,100,76.203689
-126.353403,100,80.011696
-117.22887,100,83.780092
-113.314167,100,87.51028
-105.048735,100,91.250724
-93.521469,100,95.375991
-71.714644,100,99.237722
-129.820375,100,103.038075
-97.355941,100,106.925494
-89.291786,100,110.782641
-126.233451,100,114.614296
-112.835897,100,118.466673
-81.594563,100,122.559097
-124.576972,100,126.819335
-117.633086,100,130.870746
-74.074543,100,134.695346
-74.326101,100,138.607376
-110.779373,100,142.515778
-118.477406,100,146.482571
-105.015695,100,150.641632
-66.597783,100,154.467271
-97.779398,100,158.775372
-111.005855,100,162.82764
-111.753859,100,167.206181
-109.079763,100,171.405092
-120.331585,100,175.644075
-89.670734,100,179.729254
-88.629065,100,183.891874
-122.119737,100,188.080833
-108.286689,100,191.835657
-118.608942,100,195.835049
-112.977941,100,200.17983
-102.983032,100,204.0402
-107.081973,100,207.911172
-89.469936,100,211.709936
-113.704183,100,215.615165
-73.986396,100,219.447574
-116.338001,100,223.454581
-79.731069,100,227.747931
-121.980111,100,244.078497
-116.392632,100,248.385191
-113.327744,100,252.733248
-126.459225,100,257.253436
-88.335273,100,261.554203
-78.268058,100,265.931946
-91.516619,100,270.303577
-131.773666,100,274.65206
-114.064084,100,278.998756
-111.463196,100,283.331147
-104.047791,100,287.62436
-95.703393,100,292.122794
-118.631757,100,296.572017
-114.839816,100,301.235136
-101.668016,100,305.732059
-116.061032,100,309.607265
-120.978767,100,313.609959
-111.596682,100,317.902006
-117.244776,100,321.789311
-75.761094,100,325.84912
-117.945291,100,329.986137
-96.401941,100,334.363367
-109.197862,100,338.759171
-123.608007,100,343.065246
-91.336993,100,347.40193
-116.078021,100,351.90577
-112.105647,100,356.291583
-124.095773,100,360.747773
-110.66302,100,365.07421
-76.929865,100,369.371426
-94.219178,100,373.929442
-72.811659,100,380.328341
-123.737426,100,386.085955
-109.754556,100,392.138005
-115.078413,100,398.280982
-122.004255,100,406.012741
-106.102356,100,410.818409
-128.777252,100,414.824791
-110.130594,100,419.497639
-123.042595,100,423.565786
-115.376354,100,427.715469
-112.235459,100,431.622189
-126.435656,100,435.584208
-109.531329,100,439.455656
-78.295931,100,443.362905
-113.298262,100,447.234473
-78.284544,100,451.135529
-117.07243,100,455.11623
-114.066116,100,458.98064
-114.655847,100,462.843025
-104.787889,100,478.638848
-117.324258,100,482.585269
-99.275907,100,486.673887
-104.276837,100,490.969398
-77.147442,100,494.880099
-100.572083,100,498.947543
-65.645393,100,503.185112
-65.452073,100,507.811431
-90.647083,100,511.672356
-77.138691,100,515.614606
-91.749366,100,519.45301
-103.27675,100,523.300678
-111.292229,100,527.203576
-105.893901,100,531.315037
-123.133125,100,535.209268
-106.755426,100,539.364557
-70.190967,100,543.289892
-100.116455,100,547.186298
-63.170692,100,551.312082
-103.426144,100,555.63426
-96.440429,100,559.519026
-100.987854,100,563.398401
-110.380944,100,567.24689
-66.398814,100,571.186618
-115.208732,100,575.38065
-95.57675,100,579.266556
-102.161057,100,583.13031
-68.726026,100,587.032382
-124.529725,100,591.105693
-112.469305,100,595.033446
-92.471377,100,598.948659
-74.365417,100,602.897254
-83.325018,100,606.77442
-122.072761,100,610.617072
-100.293588,100,615.325978
-87.00959,100,619.675205
-101.824021,100,623.991476
-108.189292,100,628.117149
-93.991687,100,633.463551
-72.216937,100,637.998281
-111.64555,100,643.168039
-62.811605,100,648.427498
-88.769171,100,652.901129
-118.40696,100,657.230605
-97.022054,100,662.030459
-60.392692,100,666.28748
-73.051625,100,670.519939
-111.142063,100,674.633186
-81.816132,100,678.838308
-77.390234,100,682.854199
-89.360736,100,699.392033
-92.799631,100,703.44292
-99.764045,100,707.722138
-76.399623,100,711.895804
-73.176956,100,715.863715
-120.370221,100,719.787135
-95.194397,100,723.715587
-74.23626,100,727.561307
-101.62595,100,731.503348
-87.328883,100,735.448154
-110.330909,100,739.329419
-62.476115,100,743.16808
-102.654061,100,747.042957
-85.458411,100,750.883732
-98.4368,100,754.808028
-93.423375,100,758.693256
-92.716439,100,762.553527
-70.326829,100,766.44655
-82.308649,100,770.367996
-101.122183,100,774.405717
-78.925024,100,778.559685
-78.565214,100,782.744767
-90.026031,100,786.782346
-88.985843,100,790.833771
-105.161944,100,795.121176
-119.848656,100,799.895344
-102.521543,100,804.324915
-93.316219,100,808.776368
-105.150782,100,813.011189
-88.279232,100,817.204031
-52.425559,100,822.503303
-119.337269,100,827.059861
-121.688168,100,831.1107
-67.993608,100,835.723116
-103.88789,100,839.905256
-92.974632,100,843.819257
-94.005258,100,847.809094
-96.901859,100,852.324573
-86.357109,100,856.254601
-53.824981,100,860.112278
-89.449905,100,863.956773
-94.145419,100,867.838064
-93.807231,100,871.900492
-113.986158,100,875.762036
-68.301381,100,879.794301
-97.127007,100,884.045641
-74.908177,100,887.918573
-81.963159,100,891.776384
-79.836994,100,895.829937
-98.636424,100,899.970353
-58.575823,100,915.972811
-96.208702,100,920.251612
-41.732663,100,924.690559
-80.491422,100,929.018447
-51.2452,100,933.487641
-63.570416,100,938.12401
-98.023993,100,942.374618
-107.905132,100,946.447498
