#{"t_start": 1742082419.5375574, "env_id": "None"}
r,l,t
-125.497996,100,13.862827
-73.089006,100,17.746604
-123.46628,100,21.636328
-120.819686,100,25.72666
-119.914676,100,29.578743
-107.033948,100,33.218663
-103.14957,100,36.880306
-63.225837,100,40.502874
-116.986217,100,44.24694
-108.326206,100,47.926073
-108.253918,100,51.602814
-76.440612,100,55.383374
-67.254706,100,59.191381
-123.953878,100,62.959776
-122.055245,100,66.689965
-95.01001,100,70.430408
-112.274592,100,74.555676
-104.557928,100,78.417407
-100.370048,100,82.218276
-117.535859,100,86.105179
-126.097781,100,89.962326
-119.161739,100,93.793981
-77.116235,100,97.646357
-102.062115,100,101.739293
-95.843959,100,105.999549
-116.998796,100,110.05043
-117.319877,100,113.875031
-89.110895,100,117.78706
-108.084497,100,121.695463
-80.966819,100,125.66276
-135.659909,100,129.823893
-119.252403,100,133.647466
-114.020814,100,137.955056
-117.560682,100,142.007855
-111.202022,100,146.385866
-109.122461,100,150.585302
-62.693251,100,154.82376
-83.402926,100,158.908939
-79.586411,100,163.069539
-96.315599,100,167.261522
-99.925526,100,171.017371
-106.765022,100,175.01526
-119.705721,100,179.360043
-129.861494,100,183.226441
-75.707156,100,187.093374
-120.205056,100,190.88962
-109.860234,100,194.797854
-84.16636,100,198.627259
-115.610742,100,202.634789
-95.837444,100,206.927616
-112.012561,100,223.259694
-120.756319,100,227.564876
-116.85527,100,231.91344
-118.952113,100,236.433121
-110.737806,100,240.734395
-57.776464,100,245.114696
-127.208123,100,249.483768
-114.173739,100,253.831744
-103.803897,100,258.181955
-108.450163,100,262.511362
-122.380523,100,266.804045
-109.501713,100,271.299942
-108.82552,100,275.752223
-100.034554,100,280.414821
-77.331087,100,284.912273
-112.260133,100,288.78695
-76.000179,100,292.790163
-116.509614,100,297.081691
-88.163763,100,300.971528
-110.077499,100,305.029328
-118.481468,100,309.165821
-73.028776,100,313.543579
-124.466633,100,317.939892
-84.960698,100,322.245456
-120.176571,100,326.579578
-110.777194,100,331.084432
-76.864063,100,335.471792
-116.253891,100,339.927977
-119.874555,100,344.254404
-118.874669,100,348.553151
-114.884003,100,353.109647
-125.176128,100,359.508025
-73.803716,100,365.262105
-122.937311,100,371.318701
-90.308491,100,377.461203
-124.846092,100,385.192426
-113.755022,100,389.998618
-72.172828,100,394.001913
-77.53886,100,398.678363
-119.125533,100,402.745471
-116.549001,100,406.895154
-120.27635,100,410.803914
-118.296851,100,414.763388
-112.632052,100,418.635341
-110.633699,100,422.543116
-80.738551,100,426.415193
-112.630628,100,430.315214
-57.014256,100,434.295914
-92.279689,100,438.158302
-114.96591,100,442.023236
-111.011778,100,457.818533
-98.06397,100,461.764953
-106.065948,100,465.853572
-103.54224,100,470.14657
-77.337671,100,474.059783
-83.38469,100,478.127228
-114.528812,100,482.364796
-85.620141,100,486.991623
-117.636306,100,490.855613
-71.256782,100,494.795802
-108.45692,100,498.633203
-107.421474,100,502.48087
-109.95825,100,506.383261
-100.380762,100,510.493681
-109.775931,100,514.390962
-107.308398,100,518.54477
-75.003427,100,522.469058
-92.409234,100,526.365462
-109.579964,100,530.492285
-94.193665,100,534.813945
-88.578063,100,538.699227
-117.300205,100,542.578085
-91.311406,100,546.426575
-92.221899,100,550.367343
-106.971624,100,554.559299
-95.08346,100,558.446241
-103.366302,100,562.309994
-119.159845,100,566.213592
-87.039441,100,570.286415
-105.234132,100,574.213131
-109.315142,100,578.128344
-102.063725,100,582.077466
-59.812382,100,585.954613
-128.628646,100,589.796757
-73.953834,100,594.505662
-80.434311,100,598.858438
-115.373441,100,603.170644
-61.448952,100,607.299861
-96.967119,100,612.643235
-81.912535,100,617.178473
-128.55067,100,622.349262
-78.235281,100,627.604631
-85.193856,100,632.081392
-100.145697,100,636.410289
-113.766997,100,641.210673
-112.684238,100,645.467165
-116.70732,100,649.700144
-113.923662,100,653.812871
-82.615091,100,658.017992
-110.528752,100,662.033883
-99.972668,100,678.572223
-74.530183,100,682.623127
-118.868968,100,686.901822
-89.403096,100,691.076508
-88.020447,100,695.043399
-81.898539,100,698.969378
-89.890669,100,702.895272
-109.175556,100,706.740991
-74.214245,100,710.68514
-114.224537,100,714.629861
-99.372655,100,718.509104
-97.706592,100,722.347765
-65.74351,100,726.222641
-88.161786,100,730.065441
-95.038461,100,733.985677
-76.977154,100,737.872941
-67.606016,100,741.7327
-100.977424,100,745.626235
-108.445563,100,749.548204
-98.114316,100,753.587425
-86.515045,100,757.73937
-92.537334,100,761.925473
-96.720726,100,765.962543
-69.229448,100,770.013456
-95.637328,100,774.30138
-88.92888,100,779.075536
-114.824813,100,783.5046
-51.346786,100,787.956594
-113.759489,100,792.18985
-94.126969,100,796.38423
-120.70694,100,801.683494
-121.21857,100,806.239546
-102.244268,100,810.290385
-103.693924,100,814.903322
-102.394471,100,819.084941
-128.805188,100,822.998941
-120.080139,100,826.990812
-131.271027,100,831.503236
-89.073471,100,835.436808
-65.457462,100,839.293994
-84.745639,100,843.139004
-124.923177,100,847.017749
-106.233815,100,851.080694
-67.788192,100,854.943787
-79.397182,100,858.973985
-101.113656,100,863.224815
-91.816976,100,867.098258
-90.026624,100,870.957594
-105.713815,100,875.009116
-102.476201,100,879.150038
-87.826393,100,895.152495
-106.812557,100,899.431297
-109.023631,100,903.870243
-85.88793,100,908.200147
-84.120196,100,912.667325
-73.290461,100,917.305748
-59.276219,100,921.553764
-139.314988,100,925.628207
