#{"t_start": 1742082411.6680474, "env_id": "None"}
r,l,t
-120.27895,100,21.732337
-125.725214,100,25.618149
-123.535236,100,29.505838
-109.507867,100,33.59617
-101.625717,100,37.448253
-94.586244,100,41.088172
-111.574823,100,44.749816
-66.021141,100,48.371869
-111.121249,100,52.117466
-96.810949,100,55.795583
-110.043821,100,59.472324
-114.870991,100,63.252884
-98.753103,100,67.060891
-115.411466,100,70.829286
-122.292605,100,74.559475
-132.216829,100,78.300422
-113.009971,100,82.424179
-111.555758,100,86.286412
-94.803731,100,90.087786
-120.685836,100,93.974689
-121.034974,100,97.831836
-121.149655,100,101.663491
-118.958525,100,105.515867
-100.005593,100,109.608803
-70.423184,100,113.865506
-65.803363,100,117.918432
-79.610046,100,121.744541
-116.529965,100,125.65657
-101.153356,100,129.564973
-78.389246,100,133.53227
-113.012385,100,137.693403
-98.236265,100,141.516976
-89.737022,100,145.824566
-76.486538,100,149.877365
-98.099313,100,154.255376
-109.675921,100,158.454287
-67.540341,100,162.69327
-121.243389,100,166.778449
-105.415526,100,170.941068
-120.62175,100,175.130028
-98.627927,100,178.886365
-107.380058,100,182.884244
-82.958731,100,187.229024
-119.016602,100,191.095951
-60.471585,100,194.962376
-90.87313,100,198.75913
-127.579751,100,202.667364
-108.922691,100,206.497283
-115.547033,100,210.504299
-113.592051,100,214.797126
-111.294266,100,231.129204
-120.090915,100,235.437425
-120.202849,100,239.78295
-106.589038,100,244.304155
-112.758741,100,248.601391
-102.802934,100,252.984206
-108.051367,100,257.353278
-114.318228,100,261.700746
-104.266299,100,266.051465
-104.22522,100,270.380872
-108.954037,100,274.673555
-81.696749,100,279.171989
-90.36958,100,283.621733
-106.975292,100,288.283809
-107.285635,100,292.780744
-74.657946,100,296.65646
-107.49221,100,300.658627
-108.052285,100,304.951201
-114.258678,100,308.841038
-102.373527,100,312.898314
-108.849216,100,317.03381
-115.237056,100,321.412562
-115.925293,100,325.807857
-118.432283,100,330.114966
-130.565003,100,334.44858
-103.547005,100,338.95548
-103.846511,100,343.340778
-115.306443,100,347.796967
-115.913733,100,352.123914
-112.209486,100,356.423181
-113.674767,100,360.979156
-124.401451,100,367.377535
-96.668401,100,373.136179
-116.452188,100,379.188211
-94.833347,100,385.330176
-105.269998,100,393.061936
-111.550788,100,397.867604
-99.24697,100,401.873985
-86.121124,100,406.547873
-110.74478,100,410.614981
-107.397792,100,414.764664
-118.128334,100,418.672899
-113.356642,100,422.633403
-110.573747,100,426.504851
-89.426116,100,430.4121
-117.012004,100,434.284703
-116.660941,100,438.185245
-94.992772,100,442.164415
-124.462094,100,446.029835
-112.517506,100,449.891712
-111.54728,100,465.688043
-107.143111,100,469.634463
-110.893246,100,473.723082
-106.765514,100,478.018085
-122.868724,100,481.929293
-107.22703,100,485.996737
-90.527341,100,490.234306
-66.907932,100,494.85962
-98.5416,100,498.725123
-100.356947,100,502.665312
-93.595116,100,506.502713
-108.765391,100,510.35038
-107.786491,100,514.252771
-59.186825,100,518.362683
-111.499221,100,522.260472
-120.87414,100,526.413752
-85.338827,100,530.338568
-91.366221,100,534.234972
-124.726155,100,538.361795
-107.122814,100,542.68092
-68.217367,100,546.567698
-129.035007,100,550.447595
-94.007486,100,554.296085
-91.832701,100,558.235812
-76.030869,100,562.429844
-95.382238,100,566.315751
-117.953514,100,570.180023
-124.332468,100,574.083102
-74.433706,100,578.155405
-106.267927,100,582.081092
-60.681304,100,585.997854
-106.398358,100,589.945407
-102.068518,100,593.823615
-82.903504,100,597.666266
-110.418021,100,602.375172
-101.133199,100,606.727947
-111.583718,100,611.040671
-51.666319,100,615.169371
-111.154639,100,620.512745
-102.963572,100,625.047983
-124.977857,100,630.218772
-116.891903,100,635.476693
-91.178666,100,639.950323
-51.496912,100,644.277722
-78.818071,100,649.080183
-79.241068,100,653.336675
-115.708386,100,657.569654
-124.909043,100,661.682381
-104.691051,100,665.885493
-75.801752,100,669.903393
-66.234889,100,686.442253
-99.010118,100,690.492637
-105.20113,100,694.771332
-105.431697,100,698.945509
-83.988105,100,702.912909
-110.689118,100,706.837841
-111.091145,100,710.764269
-108.223382,100,714.610501
-121.168201,100,718.55311
-111.900771,100,722.499371
-83.367913,100,726.378613
-62.041099,100,730.21576
-79.473437,100,734.092151
-89.969097,100,737.934951
-64.66435,100,741.857222
-111.845721,100,745.742451
-87.351587,100,749.601697
-96.539976,100,753.495745
-90.913757,100,757.417191
-83.959317,100,761.456935
-105.229119,100,765.608366
-94.419702,100,769.794983
-104.278738,100,773.832053
-104.08544,100,777.882966
-87.17475,100,782.170371
-93.275327,100,786.945045
-93.843418,100,791.373075
-82.49338,100,795.826104
-95.374936,100,800.05936
-80.564103,100,804.25374
-103.060035,100,809.549956
-107.515945,100,814.109056
-114.646625,100,818.15938
-102.854312,100,822.772832
-112.493608,100,826.954451
-127.668368,100,830.868451
-140.107757,100,834.860322
-45.705627,100,839.373256
-39.18985,100,843.306318
-86.687401,100,847.161985
-97.7463,100,851.008514
-103.340688,100,854.883741
-80.015084,100,858.950204
-99.883755,100,862.813297
-83.789151,100,866.843495
-98.575291,100,871.095844
-86.680196,100,874.967234
-104.522353,100,878.825578
-105.724535,100,882.878626
-100.240108,100,887.019548
-76.915747,100,903.022005
-109.492489,100,907.300294
-78.510898,100,911.739753
-74.937537,100,916.069657
-73.791452,100,920.537339
-78.789158,100,925.175257
-59.318268,100,929.423274
-84.430123,100,933.497717
