#{"t_start": 1742072819.0230837, "env_id": "None"}
r,l,t
-115.490365,100,8.498995
-100.779339,100,9.729155
-84.415718,100,12.117465
-114.210254,100,15.814561
-105.22326,100,19.512702
-67.144967,100,23.219462
-58.195183,100,27.492258
-96.45756,100,31.39144
-116.28379,100,35.228616
-113.979292,100,39.253397
-93.285762,100,43.752987
-115.004395,100,48.206908
-124.545593,100,52.252809
-110.685794,100,56.182256
-114.974307,100,60.324843
-107.567379,100,64.543079
-96.127128,100,68.746421
-66.650079,100,73.006378
-128.932164,100,77.174301
-89.258211,100,81.316644
-87.41336,100,85.239783
-124.844105,100,89.620585
-112.268298,100,93.699645
-91.852951,100,98.230078
-129.947003,100,102.748792
-119.936359,100,107.383435
-70.669694,100,111.34687
-84.626398,100,115.622923
-120.192386,100,119.877072
-119.163068,100,124.570168
-106.263895,100,130.979994
-84.018954,100,136.257012
-93.788349,100,141.741031
-109.380112,100,147.250727
-117.953613,100,154.127671
-117.498299,100,160.102351
-109.624049,100,165.693711
-82.876521,100,172.367016
-84.854362,100,178.652648
-125.948049,100,185.218385
-116.407649,100,191.547656
-119.69809,100,197.935425
-117.24026,100,204.610621
-92.762881,100,208.868318
-105.87727,100,213.026731
-76.735357,100,217.635316
-110.788387,100,222.184203
-66.21786,100,226.198608
-114.744757,100,230.176496
-76.275066,100,234.262865
