#{"t_start": 1742072825.063399, "env_id": "None"}
r,l,t
-115.641326,100,2.459188
-85.512717,100,3.688839
-89.414191,100,6.07715
-119.586382,100,9.774246
-124.90434,100,13.472386
-98.292669,100,17.179147
-122.677229,100,21.45245
-113.205913,100,25.351124
-97.204547,100,29.188822
-112.745779,100,33.213081
-104.548978,100,37.712672
-113.977942,100,42.166593
-108.653347,100,46.213023
-98.468613,100,50.14194
-106.425387,100,54.284528
-78.525342,100,58.502763
-79.96877,100,62.706612
-92.58928,100,66.966063
-125.389944,100,71.133986
-114.625426,100,75.276845
-118.29904,100,79.199467
-115.167328,100,83.580269
-103.637609,100,87.659329
-109.438984,100,92.189763
-119.861154,100,96.708985
-75.74887,100,101.343626
-65.449665,100,105.306555
-117.090165,100,109.582607
-113.708949,100,113.836756
-83.079503,100,118.53036
-113.855098,100,124.939679
-117.572336,100,130.216697
-84.733024,100,135.700716
-79.776123,100,141.210917
-69.085626,100,148.087861
-112.350812,100,154.062036
-106.397802,100,159.653396
-118.910911,100,166.3267
-119.280081,100,172.612333
-119.381563,100,179.178069
-118.524515,100,185.507341
-95.432532,100,191.896123
-101.257219,100,198.570306
-56.492416,100,202.828003
-78.834358,100,206.986936
-106.809014,100,211.595001
-114.194118,100,216.143888
-111.376728,100,220.158292
-106.642563,100,224.13618
-91.936808,100,228.222549
