#{"t_start": 1742081044.6169913, "env_id": "None"}
r,l,t
-114.587192,100,38.381008
-91.82674,100,42.639623
-95.275575,100,46.484279
-116.839815,100,50.459651
-125.359909,100,54.356179
-94.822734,100,58.478292
-120.4747,100,62.494151
-112.374237,100,66.574613
-93.192618,100,70.530341
-118.027431,100,74.80633
-100.575074,100,78.81099
-121.165732,100,82.95223
-111.115669,100,86.948071
-97.751949,100,91.068317
-113.78892,100,95.098024
-76.813297,100,99.20724
-83.331296,100,103.265814
-90.110202,100,107.272529
-134.516827,100,111.279419
-107.498615,100,115.325174
-116.990626,100,119.355731
-122.94673,100,123.423952
-110.945628,100,127.425467
-113.578293,100,131.465116
-115.795816,100,135.618371
-79.210684,100,139.661179
-57.010856,100,143.860505
-107.644484,100,147.87772
-120.90642,100,151.945994
-74.911992,100,155.992776
-124.323145,100,160.186522
-110.043702,100,163.969502
-78.088618,100,168.019503
-71.708343,100,172.127717
-72.32664,100,176.059032
-115.620943,100,180.024001
-110.502852,100,184.124949
-121.123221,100,188.184536
-118.433984,100,192.382607
-122.412091,100,196.630822
-122.400558,100,200.701956
-84.798767,100,204.956783
-103.473081,100,209.08039
-48.453442,100,213.14456
-82.926295,100,217.235606
-105.878984,100,221.259267
-109.728764,100,225.364234
-103.438798,100,229.492045
-98.404688,100,233.624157
-103.078707,100,237.72507
-125.610983,100,253.882272
-112.971029,100,257.874563
-114.787221,100,261.878766
-116.612078,100,266.157516
-112.983675,100,270.278079
-127.792114,100,274.255514
-97.707333,100,278.191938
-128.806758,100,282.106252
-112.475767,100,286.071873
-117.452281,100,290.058916
-124.090704,100,293.776073
-91.395893,100,297.447703
-85.453999,100,301.164693
-113.246125,100,304.880205
-115.608379,100,308.562211
-135.183222,100,312.314259
-103.668315,100,316.545607
-81.433257,100,320.463329
