#{"t_start": 1742081050.6717184, "env_id": "None"}
r,l,t
-81.040016,100,32.327788
-71.627503,100,36.584896
-110.476672,100,40.429552
-89.556311,100,44.40442
-71.494553,100,48.301452
-113.156533,100,52.423565
-114.598114,100,56.439424
-85.816015,100,60.519886
-77.742127,100,64.475614
-114.485173,100,68.751085
-101.393244,100,72.756778
-113.995465,100,76.897503
-107.946026,100,80.893343
-79.980255,100,85.014104
-128.046695,100,89.043297
-120.836994,100,93.152513
-103.631748,100,97.211087
-113.692369,100,101.217802
-95.658082,100,105.22318
-117.417887,100,109.268417
-92.747745,100,113.301522
-114.847061,100,117.370733
-67.126202,100,121.370226
-90.850484,100,125.410389
-80.050175,100,129.561636
-114.315311,100,133.606452
-117.417713,100,137.805778
-113.444481,100,141.822479
-111.037517,100,145.891771
-77.467205,100,149.938049
-111.022242,100,154.134347
-112.083327,100,157.914775
-83.141517,100,161.964776
-98.449298,100,166.075027
-105.891783,100,170.004305
-98.481499,100,173.969274
-113.338801,100,178.070222
-115.886835,100,182.132355
-85.846409,100,186.32788
-93.70693,100,190.578607
-68.558613,100,194.644694
-119.487206,100,198.902056
-120.45696,100,203.02364
-116.037356,100,207.090859
-119.611897,100,211.183424
-110.572135,100,215.206583
-110.116016,100,219.312068
-61.921291,100,223.437833
-113.234461,100,227.56943
-93.036896,100,231.669315
-86.166137,100,247.827545
-81.691676,100,251.820855
-120.908509,100,255.824039
-61.760552,100,260.105314
-110.526085,100,264.225393
-122.634524,100,268.198758
-121.88275,100,272.136188
-87.433198,100,276.051525
-110.963965,100,280.017146
-118.30473,100,284.003685
-113.770904,100,287.721886
-68.478922,100,291.393489
-106.486399,100,295.109966
-115.875573,100,298.825478
-94.793716,100,302.507484
-109.124437,100,306.258528
-115.84699,100,310.490362
-74.264103,100,314.408602
