#{"t_start": 1742081068.5311673, "env_id": "None"}
r,l,t
-68.669288,100,14.467836
-72.457271,100,18.725447
-124.120397,100,22.570103
-116.462123,100,26.543964
-123.48447,100,30.442003
-107.31528,100,34.564116
-127.553517,100,38.579975
-77.078965,100,42.66096
-83.286762,100,46.616165
-119.8583,100,50.891636
-132.712574,100,54.89733
-85.517667,100,59.038054
-110.36442,100,63.032872
-95.829163,100,67.154655
-111.23738,100,71.184369
-131.016534,100,75.293064
-108.462945,100,79.35063
-121.7651,100,83.358353
-107.026847,100,87.365243
-93.635837,100,91.410998
-117.200028,100,95.441555
-121.212999,100,99.511804
-118.12466,100,103.510777
-121.582235,100,107.55094
-114.906144,100,111.704701
-116.800375,100,115.747003
-122.834848,100,119.94532
-95.679251,100,123.963544
-69.081817,100,128.032322
-66.299062,100,132.0786
-81.454235,100,136.273358
-122.61521,100,140.055846
-84.326365,100,144.105327
-114.330795,100,148.214553
-118.099878,100,152.145375
-112.212999,100,156.109825
-67.184655,100,160.211305
-85.556771,100,164.272907
-106.345167,100,168.468431
-97.706218,100,172.719677
-95.907825,100,176.78778
-114.146042,100,181.043113
-70.543541,100,185.165698
-114.969043,100,189.232923
-93.720941,100,193.324488
-88.664559,100,197.347134
-115.221754,100,201.452619
-109.134307,100,205.57686
-109.840179,100,209.709981
-110.162154,100,213.810894
-99.970798,100,229.968096
-97.912603,100,233.961406
-120.256157,100,237.96459
-88.514419,100,242.245865
-123.4145,100,246.364913
-132.377342,100,250.341338
-85.125093,100,254.277762
-98.086508,100,258.192599
-70.968535,100,262.157148
-99.053222,100,266.145763
-116.74174,100,269.862437
-122.222948,100,273.532504
-74.301794,100,277.24949
-116.846163,100,280.965519
-109.711479,100,284.648035
-54.410225,100,288.400083
-81.568446,100,292.631431
-114.509034,100,296.54967
