#{"t_start": 1742081062.7413266, "env_id": "None"}
r,l,t
-124.962168,100,20.25818
-80.743441,100,24.515288
-122.792489,100,28.359944
-117.835048,100,32.333285
-114.04072,100,36.231844
-108.715385,100,40.353957
-105.940403,100,44.36879
-59.251397,100,48.450801
-111.964876,100,52.406006
-107.760631,100,56.680973
-110.66725,100,60.68717
-72.060977,100,64.827377
-70.708338,100,68.823735
-124.264927,100,72.944496
-123.530699,100,76.973689
-98.461701,100,81.082904
-110.543128,100,85.141479
-107.226858,100,89.147161
-98.32141,100,93.155084
-112.871058,100,97.200839
-117.145315,100,101.231914
-117.940912,100,105.301125
-77.337176,100,109.300618
-100.848758,100,113.340781
-88.880625,100,117.494541
-111.52464,100,121.536844
-119.350674,100,125.73617
-92.875164,100,129.75287
-110.242562,100,133.822163
-78.12981,100,137.866932
-125.489181,100,142.063711
-114.830818,100,145.845167
-113.093925,100,149.89416
-119.463484,100,154.005419
-116.212037,100,157.935216
-108.320837,100,161.899666
-68.756128,100,165.99908
-81.220396,100,170.0602
-68.507106,100,174.258272
-93.428416,100,178.507492
-110.189258,100,182.574579
-106.949792,100,186.832448
-114.148919,100,190.955035
-115.676986,100,195.022763
-77.846944,100,199.114328
-121.114061,100,203.13645
-111.406661,100,207.24246
-88.750487,100,211.370248
-103.085901,100,215.499822
-92.586667,100,219.600219
-114.565666,100,235.757937
-120.569399,100,239.751247
-119.770929,100,243.75443
-117.053724,100,248.035706
-107.698648,100,252.155785
-68.55428,100,256.129149
-129.335919,100,260.06709
-110.350026,100,263.981917
-105.789255,100,267.946988
-102.67816,100,271.935091
-126.75981,100,275.652278
-105.228485,100,279.323881
-105.793189,100,283.039843
-97.025699,100,286.75587
-79.99205,100,290.437876
-112.097872,100,294.189924
-75.668996,100,298.421272
-115.540757,100,302.33848
