#{"t_start": 1742081074.2424533, "env_id": "None"}
r,l,t
-133.302932,100,8.757053
-111.354064,100,13.011641
-84.871171,100,16.859332
-66.781726,100,20.834713
-116.047597,100,24.731225
-120.406766,100,28.85283
-117.400932,100,32.867663
-101.365362,100,36.949674
-118.843408,100,40.903872
-76.789546,100,45.180868
-70.284819,100,49.186563
-117.84435,100,53.327291
-114.611072,100,57.322098
-120.471081,100,61.443369
-128.857324,100,65.473083
-116.315065,100,69.581778
-120.167897,100,73.640352
-78.955249,100,77.647067
-105.823852,100,81.653957
-115.920761,100,85.699712
-118.819139,100,89.731306
-112.255203,100,93.800518
-91.365149,100,97.800519
-119.425805,100,101.839654
-73.559648,100,105.993415
-114.690421,100,110.036251
-125.035767,100,114.235043
-118.894471,100,118.250217
-67.421169,100,122.319024
-120.070032,100,126.367314
-118.274711,100,130.563612
-125.198427,100,134.34456
-108.128635,100,138.394041
-72.153325,100,142.501741
-97.140679,100,146.43461
-114.215794,100,150.398539
-110.273306,100,154.500019
-78.974702,100,158.56162
-87.713347,100,162.757145
-93.509756,100,167.008391
-98.620764,100,171.076494
-130.01869,100,175.331827
-115.457538,100,179.454928
-103.153137,100,183.522158
-112.365965,100,187.613202
-133.269554,100,191.635848
-87.966136,100,195.741853
-99.50263,100,199.869122
-115.87886,100,203.995183
-77.892415,100,208.099608
-118.637433,100,224.25681
-121.469488,100,228.25012
-124.517396,100,232.253304
-116.11283,100,236.534579
-120.82214,100,240.654658
-106.621511,100,244.628538
-118.131485,100,248.566476
-100.029713,100,252.481313
-99.388949,100,256.446411
-113.593698,100,260.43499
-108.849844,100,264.151151
-120.137835,100,267.822241
-85.370586,100,271.539231
-104.08083,100,275.255259
-118.325333,100,278.937274
-110.465886,100,282.688797
-99.66762,100,286.920145
-120.649282,100,290.838384
