#{"t_start": 1742081047.656807, "env_id": "None"}
r,l,t
-124.073908,100,35.3427
-88.860234,100,39.599808
-109.232853,100,43.444463
-85.254783,100,47.419835
-78.673964,100,51.316364
-105.562765,100,55.438477
-51.316947,100,59.454335
-122.726677,100,63.534797
-78.690603,100,67.489518
-78.190926,100,71.765996
-117.085346,100,75.770654
-111.480005,100,79.912414
-96.189501,100,83.908255
-104.326797,100,88.027476
-88.557415,100,92.058208
-88.672893,100,96.166919
-116.408824,100,100.225999
-116.825717,100,104.232198
-116.916793,100,108.239603
-111.633227,100,112.285358
-113.343937,100,116.316434
-119.786098,100,120.385644
-127.874701,100,124.384624
-118.11207,100,128.4253
-126.161497,100,132.579061
-62.113854,100,136.621363
-107.903915,100,140.818169
-119.092091,100,144.837904
-72.363001,100,148.906178
-111.214786,100,152.95296
-112.597864,100,157.149258
-86.514344,100,160.929686
-122.797313,100,164.979687
-62.880617,100,169.089938
-120.385836,100,173.017706
-120.369257,100,176.981674
-116.973326,100,181.084623
-111.766604,100,185.147267
-90.258235,100,189.342286
-117.86541,100,193.593518
-72.730672,100,197.66214
-124.099927,100,201.916967
-117.185341,100,206.039555
-95.043693,100,210.107283
-114.97302,100,214.198848
-106.263805,100,218.221494
-105.953639,100,222.326467
-110.156268,100,226.454264
-123.038696,100,230.584342
-118.491682,100,234.685255
-125.713222,100,250.842457
-81.184748,100,254.835252
-104.290086,100,258.83895
-123.088652,100,263.119216
-120.428419,100,267.240304
-102.464758,100,271.215699
-120.079081,100,275.152122
-109.620064,100,279.06592
-116.312543,100,283.032058
-90.530483,100,287.020123
-112.55833,100,290.736257
-112.822426,100,294.408401
-112.45654,100,298.124877
-77.151606,100,301.839367
-70.806698,100,305.522395
-107.806019,100,309.274443
-80.024837,100,313.505791
-110.772585,100,317.423
