#{"t_start": 1742081065.5996368, "env_id": "None"}
r,l,t
-90.621628,100,17.398362
-96.830047,100,21.656978
-107.502598,100,25.501634
-86.628031,100,29.477005
-109.87386,100,33.374041
-111.800843,100,37.495647
-116.423245,100,41.512026
-74.748943,100,45.592491
-89.057616,100,49.546689
-62.945068,100,53.821656
-112.001557,100,57.827315
-68.082081,100,61.970108
-112.298562,100,65.963887
-84.748611,100,70.086185
-118.21576,100,74.115378
-88.209325,100,78.224594
-114.074921,100,82.283169
-110.220953,100,86.289884
-115.464019,100,90.296773
-92.75627,100,94.342528
-105.255478,100,98.373085
-115.461004,100,102.442311
-116.511466,100,106.441794
-99.787799,100,110.480956
-117.859065,100,114.636231
-102.183696,100,118.678534
-87.924277,100,122.875339
-72.595142,100,126.895074
-129.268722,100,130.963349
-124.037713,100,135.01013
-80.067223,100,139.206428
-116.875387,100,142.987377
-87.734202,100,147.036857
-93.312226,100,151.147108
-93.958983,100,155.076387
-118.370302,100,159.041356
-124.313815,100,163.142836
-112.235656,100,167.204437
-77.024659,100,171.399962
-121.228797,100,175.650689
-118.574999,100,179.71931
-60.594191,100,183.974138
-125.128562,100,188.097745
-122.208983,100,192.164453
-130.801058,100,196.256018
-105.990319,100,200.278665
-117.733771,100,204.38415
-101.126401,100,208.510429
-119.566202,100,212.641512
-95.632445,100,216.742425
-84.315561,100,232.899627
-114.073352,100,236.892937
-98.0686,100,240.89612
-87.026884,100,245.17588
-99.613823,100,249.297474
-74.697916,100,253.272869
-66.866291,100,257.20878
-122.287198,100,261.123607
-118.287383,100,265.088678
-107.316305,100,269.07678
-120.579652,100,272.793968
-82.372465,100,276.465057
-114.037682,100,280.182048
-115.954587,100,283.89756
-81.870943,100,287.579565
-111.262361,100,291.331613
-123.021758,100,295.562962
-95.669666,100,299.480684
