#{"t_start": 1742081056.691356, "env_id": "None"}
r,l,t
-114.339194,100,26.307647
-97.900094,100,30.565259
-116.044182,100,34.409914
-91.035513,100,38.385286
-117.822054,100,42.281815
-90.938854,100,46.403928
-122.372533,100,50.419786
-123.859378,100,54.500248
-62.742762,100,58.455977
-100.35347,100,62.731447
-79.947109,100,66.737141
-90.544993,100,70.877865
-122.175674,100,74.873706
-111.331195,100,78.994466
-125.799758,100,83.023659
-120.773803,100,87.132875
-112.270314,100,91.19145
-120.282624,100,95.198164
-107.84523,100,99.205054
-86.121226,100,103.250809
-108.438864,100,107.281885
-124.761502,100,111.351095
-119.549392,100,115.351102
-111.630963,100,119.390751
-111.068505,100,123.544512
-128.491988,100,127.586814
-116.321431,100,131.78614
-127.950858,100,135.803355
-123.289285,100,139.870625
-86.96232,100,143.918411
-114.073232,100,148.114709
-77.539537,100,151.895658
-97.20735,100,155.945138
-117.229037,100,160.055389
-115.958612,100,163.984668
-122.181111,100,167.949636
-129.790304,100,172.050584
-127.222481,100,176.112718
-130.755582,100,180.308243
-100.311438,100,184.558969
-72.540035,100,188.627591
-79.514692,100,192.882418
-71.707523,100,197.005509
-112.385814,100,201.071221
-81.687932,100,205.164299
-121.073247,100,209.18642
-64.513741,100,213.289869
-85.080282,100,217.41871
-95.773751,100,221.549793
-120.458979,100,225.65019
-79.224723,100,241.807908
-135.552134,100,245.800703
-76.575505,100,249.803365
-122.407449,100,254.085677
-115.299088,100,258.205234
-118.164409,100,262.18115
-118.392191,100,266.117061
-85.291597,100,270.031888
-109.759087,100,273.996447
-112.124586,100,277.985061
-117.144861,100,281.701708
-123.514613,100,285.373852
-97.111028,100,289.088763
-126.886383,100,292.80584
-118.522325,100,296.487846
-109.298925,100,300.23889
-54.426117,100,304.471242
-76.10403,100,308.388964
