#{"t_start": 1742081041.5662918, "env_id": "None"}
r,l,t
-115.993623,100,41.431707
-110.834242,100,45.690323
-91.063479,100,49.534979
-117.222614,100,53.507813
-123.473702,100,57.406879
-115.944447,100,61.527475
-114.47275,100,65.54485
-121.921166,100,69.625312
-67.089591,100,73.581041
-112.9793,100,77.857029
-82.054003,100,81.862205
-136.074395,100,86.002929
-115.034548,100,89.99877
-93.636941,100,94.119016
-95.408266,100,98.148723
-105.45658,100,102.257939
-84.619316,100,106.316514
-84.342493,100,110.321675
-111.691396,100,114.330118
-96.64282,100,118.372335
-118.910423,100,122.406949
-129.192632,100,126.476159
-125.882914,100,130.474132
-121.77981,100,134.515815
-119.13212,100,138.667063
-113.967988,100,142.711879
-96.609589,100,146.911205
-109.738837,100,150.928419
-96.168736,100,154.996694
-97.763773,100,159.041967
-100.627506,100,163.239261
-107.596897,100,167.020201
-122.952822,100,171.070202
-118.481298,100,175.180453
-120.101474,100,179.11025
-85.661474,100,183.074701
-113.628719,100,187.175648
-83.879897,100,191.237782
-127.931099,100,195.432801
-84.103134,100,199.684034
-126.372887,100,203.750645
-97.729127,100,208.007483
-108.916304,100,212.130574
-102.323743,100,216.197294
-116.703565,100,220.289363
-115.887,100,224.311484
-110.928341,100,228.416468
-103.754398,100,232.54478
-121.409651,100,236.674857
-118.880111,100,240.77577
-118.707179,100,256.932972
-101.798576,100,260.925767
-84.698188,100,264.929465
-108.64786,100,269.210741
-92.51181,100,273.32827
-103.50493,100,277.306214
-114.115493,100,281.242637
-103.29223,100,285.156952
-93.628829,100,289.122573
-71.916184,100,293.110638
-95.380065,100,296.826772
-119.849936,100,300.498916
-109.604601,100,304.215393
-70.430322,100,307.929882
-106.943267,100,311.61291
-116.022527,100,315.364958
-107.91576,100,319.596307
-98.415959,100,323.514029
