#{"t_start": 1742073588.965452, "env_id": "None"}
r,l,t
-114.563477,100,23.742649
-98.27059,100,29.06006
-122.160062,100,34.2983
-97.896259,100,39.63814
-118.498457,100,44.922312
-99.250471,100,50.364327
-124.15304,100,55.756229
-123.548663,100,61.203714
-61.982753,100,66.423258
-99.203554,100,72.266307
-66.632092,100,78.432848
-88.620764,100,83.999954
-118.692096,100,89.077978
-108.239484,100,94.183697
-116.45768,100,99.65493
-121.40093,100,104.798486
-108.576424,100,109.90178
-117.917847,100,115.148165
-109.031586,100,120.267732
-66.195434,100,125.380523
-115.462535,100,130.491241
-121.075111,100,136.038466
-124.915753,100,141.171747
-114.985538,100,146.288866
-108.791584,100,151.381995
-121.06658,100,157.801184
-113.276713,100,163.254414
-122.946007,100,168.445363
-108.84048,100,173.791113
-91.800508,100,178.913412
-98.479498,100,184.034746
-82.125307,100,189.151855
-96.018641,100,194.467033
-117.261141,100,199.91127
-116.178429,100,204.963714
-124.031783,100,209.974671
-131.372668,100,214.963548
-122.514734,100,219.965158
-117.019817,100,225.280285
-103.502015,100,230.309513
-70.785987,100,235.362353
-87.705382,100,240.493685
-72.618494,100,245.550708
-111.906158,100,250.626571
-95.498491,100,255.69166
-119.33477,100,260.970047
-61.116972,100,266.217726
-86.819897,100,271.271565
-102.372263,100,276.295177
-124.04018,100,281.352256
