#{"t_start": 1742073570.362874, "env_id": "None"}
r,l,t
-114.51822,100,42.345227
-115.019029,100,47.662637
-82.89128,100,52.900878
-116.788698,100,58.241236
-108.924492,100,63.524359
-70.364685,100,68.966905
-62.63966,100,74.358807
-87.355456,100,79.80578
-115.019963,100,85.025836
-112.502176,100,90.868885
-101.887439,100,97.035426
-116.852069,100,102.602005
-119.447721,100,107.680556
-113.179385,100,112.786275
-113.489135,100,118.256981
-103.872907,100,123.401064
-95.921135,100,128.504358
-73.577457,100,133.750219
-125.585502,100,138.869795
-96.254231,100,143.983101
-89.157461,100,149.093818
-129.846549,100,154.639499
-107.0304,100,159.774325
-84.70405,100,164.891444
-126.958144,100,169.985095
-118.156458,100,176.403243
-72.656455,100,181.856465
-91.000141,100,187.047941
-112.8118,100,192.393691
-113.196216,100,197.515476
-107.563518,100,202.637324
-75.982734,100,207.754433
-99.609756,100,213.069611
-116.068333,100,218.513848
-122.453074,100,223.565772
-110.637654,100,228.577249
-117.309403,100,233.566643
-86.430191,100,238.567736
-91.745864,100,243.882347
-119.57484,100,248.912605
-119.454553,100,253.964931
-118.2887,100,259.095748
-113.927093,100,264.151273
-105.793579,100,269.229149
-109.634522,100,274.294238
-77.470822,100,279.572625
-112.026707,100,284.820852
-79.368957,100,289.874143
-117.094651,100,294.897755
-71.040267,100,299.95585
