#{"t_start": 1742073595.2624419, "env_id": "None"}
r,l,t
-125.160967,100,17.445659
-84.604203,100,22.76307
-121.781063,100,28.000796
-126.439559,100,33.341668
-112.125513,100,38.624791
-108.476468,100,44.067337
-110.324361,100,49.459239
-72.789291,100,54.904194
-118.172476,100,60.126268
-101.486668,100,65.969869
-111.956321,100,72.135858
-83.478379,100,77.702964
-65.529392,100,82.780988
-117.379548,100,87.8857
-123.180019,100,93.355899
-94.250743,100,98.501496
-117.778608,100,103.60479
-104.83828,100,108.851175
-96.943206,100,113.970742
-110.483405,100,119.081492
-119.156053,100,124.194251
-111.099511,100,129.741477
-77.949117,100,134.874757
-96.826621,100,139.991876
-94.759092,100,145.086054
-114.034619,100,151.503675
-115.489823,100,156.956897
-101.605812,100,162.148373
-110.575002,100,167.494123
-78.106448,100,172.616422
-127.987588,100,177.737756
-116.588714,100,182.854865
-115.202468,100,188.170043
-125.920858,100,193.61428
-113.15985,100,198.666724
-106.846028,100,203.677681
-64.428129,100,208.667075
-81.636476,100,213.668168
-77.146004,100,218.983295
-90.910425,100,224.012523
-105.233216,100,229.065363
-109.347337,100,234.196696
-114.331425,100,239.251705
-120.774425,100,244.330104
-77.982702,100,249.391665
-117.077832,100,254.673581
-115.721536,100,259.921284
-79.802267,100,264.974575
-109.814074,100,269.99767
-95.125945,100,275.055266
