#{"t_start": 1742073576.5533671, "env_id": "None"}
r,l,t
-109.839104,100,36.154733
-80.91337,100,41.472144
-97.002474,100,46.710385
-115.209514,100,52.050743
-129.677209,100,57.333866
-100.830712,100,62.776412
-123.324604,100,68.168314
-114.597319,100,73.615799
-99.037762,100,78.834828
-115.315306,100,84.678391
-105.646008,100,90.844933
-118.771919,100,96.411512
-112.056138,100,101.489548
-96.023298,100,106.595782
-105.933619,100,112.066488
-79.820608,100,117.210571
-86.378453,100,122.313865
-90.966312,100,127.559726
-117.024385,100,132.679302
-113.22804,100,137.792608
-123.195868,100,142.903325
-115.497979,100,148.450038
-103.465648,100,153.583832
-115.833265,100,158.700951
-121.500764,100,163.794601
-67.267324,100,170.21275
-71.84069,100,175.666498
-111.574874,100,180.857448
-121.196188,100,186.203197
-71.709634,100,191.325497
-125.713117,100,196.446831
-111.858158,100,201.562371
-61.552598,100,206.879118
-80.168162,100,212.323355
-67.45201,100,217.375279
-119.080572,100,222.386755
-114.056116,100,227.375633
-115.74311,100,232.377243
-111.448646,100,237.691854
-123.975788,100,242.722112
-114.982408,100,247.774438
-87.338305,100,252.904749
-104.952661,100,257.962792
-60.799861,100,263.038656
-81.348931,100,268.103745
-109.912703,100,273.382132
-112.368004,100,278.629307
-113.187079,100,283.68365
-108.993161,100,288.707777
-97.350593,100,293.765357
