#{"t_start": 1742073573.456324, "env_id": "None"}
r,l,t
-111.398605,100,39.251776
-118.674198,100,44.569187
-91.72813,100,49.805405
-117.58584,100,55.147786
-126.12843,100,60.430909
-120.062829,100,65.873455
-111.999348,100,71.265357
-126.63057,100,76.712842
-50.665671,100,81.931871
-115.964337,100,87.775434
-88.633201,100,93.941976
-134.267806,100,99.508555
-120.739505,100,104.587106
-96.351096,100,109.691818
-88.348105,100,115.163531
-100.223818,100,120.307614
-80.409064,100,125.410908
-84.077111,100,130.656769
-117.463373,100,135.77686
-94.549293,100,140.889651
-116.779864,100,146.000368
-121.301438,100,151.547594
-122.363375,100,156.680875
-122.958236,100,161.797994
-120.12304,100,166.891644
-122.316495,100,173.309793
-85.366981,100,178.763541
-117.672211,100,183.954491
-98.201733,100,189.298203
-96.240411,100,194.42254
-88.507567,100,199.543874
-117.189257,100,204.660983
-120.176759,100,209.976161
-118.389632,100,215.420398
-118.808862,100,220.472322
-82.379677,100,225.483799
-112.977719,100,230.472676
-93.365641,100,235.473774
-123.997629,100,240.788897
-83.264255,100,245.81864
-127.925866,100,250.870961
-94.303992,100,256.002813
-124.156237,100,261.059835
-98.018187,100,266.135699
-111.419204,100,271.200788
-117.821347,100,276.479175
-116.393073,100,281.727401
-98.4031,100,286.780188
-113.438933,100,291.804305
-119.231598,100,296.8624
