#{"t_start": 1742073585.84778, "env_id": "None"}
r,l,t
-123.764146,100,26.860321
-115.371528,100,32.177732
-123.608615,100,37.415972
-113.196394,100,42.75633
-107.274626,100,48.039453
-94.673455,100,53.481999
-112.529434,100,58.873901
-64.433522,100,64.321386
-117.170021,100,69.54093
-97.944876,100,75.38245
-98.220732,100,81.549512
-113.600944,100,87.117626
-95.29603,100,92.19565
-111.158871,100,97.301369
-122.311669,100,102.772602
-125.360978,100,107.916158
-110.347739,100,113.019452
-112.794601,100,118.265313
-92.679823,100,123.385404
-122.241673,100,128.498195
-128.127508,100,133.608912
-116.935379,100,139.156138
-117.224599,100,144.289419
-98.242185,100,149.406538
-66.881085,100,154.500189
-66.917281,100,160.918856
-83.876844,100,166.372086
-117.062859,100,171.563035
-102.876569,100,176.908785
-77.534457,100,182.031084
-117.737171,100,187.152418
-94.931069,100,192.269008
-89.377998,100,197.582689
-68.198971,100,203.028942
-95.326291,100,208.080866
-110.673109,100,213.092343
-68.600038,100,218.081737
-124.229278,100,223.08283
-108.140508,100,228.396928
-113.815292,100,233.426171
-98.58402,100,238.480025
-108.091542,100,243.611357
-75.847008,100,248.66838
-121.442098,100,253.744243
-67.940213,100,258.809332
-96.042087,100,264.087719
-121.099042,100,269.335398
-117.261123,100,274.389237
-114.273844,100,279.412849
-104.815295,100,284.470944
