#{"t_start": 1742073601.6837933, "env_id": "None"}
r,l,t
-62.01614,100,11.024307
-72.306005,100,16.341718
-130.325272,100,21.579959
-120.696407,100,26.920316
-126.705479,100,32.20397
-109.438984,100,37.645986
-137.047802,100,43.037371
-71.808521,100,48.485373
-90.425884,100,53.704916
-116.726487,100,59.548518
-124.367317,100,65.712491
-91.76024,100,71.281612
-109.527832,100,76.359637
-97.500881,100,81.465356
-100.437456,100,86.936588
-122.873765,100,92.079633
-99.823732,100,97.183439
-127.145423,100,102.429823
-111.182034,100,107.549391
-89.124271,100,112.662182
-119.303253,100,117.772389
-118.654553,100,123.320125
-117.857123,100,128.453406
-122.222859,100,133.571049
-115.25685,100,138.664703
-116.035424,100,145.082843
-119.539222,100,150.536072
-106.293646,100,155.727022
-71.018199,100,161.072771
-67.670563,100,166.195071
-80.548857,100,171.316405
-118.2806,100,176.433513
-80.370754,100,181.748692
-126.273171,100,187.192929
-115.963113,100,192.245372
-116.170047,100,197.256329
-70.062335,100,202.245723
-77.359306,100,207.246816
-113.123684,100,212.561944
-102.265915,100,217.591686
-100.931784,100,222.644012
-115.825154,100,227.772314
-77.648381,100,232.832366
-121.651284,100,237.908753
-100.307594,100,242.973825
-85.817504,100,248.25223
-114.034114,100,253.498881
-122.551184,100,258.553224
-108.224552,100,263.577351
-118.912783,100,268.632909
