#{"t_start": 1742073592.0752857, "env_id": "None"}
r,l,t
-128.486909,100,20.632815
-90.358722,100,25.950226
-87.697228,100,31.188466
-84.655137,100,36.528824
-116.594316,100,41.812478
-109.509204,100,47.254493
-115.787072,100,52.646395
-121.865861,100,58.093368
-110.897533,100,63.313424
-95.278453,100,69.157026
-109.141231,100,75.322006
-71.597357,100,80.89012
-119.026448,100,85.968145
-118.886645,100,91.073864
-121.927712,100,96.545096
-121.16665,100,101.688652
-112.00525,100,106.791946
-118.889937,100,112.037807
-98.692754,100,117.157899
-119.587104,100,122.270177
-118.367923,100,127.381407
-104.763336,100,132.928633
-107.984205,100,138.061913
-115.935402,100,143.179032
-121.876987,100,148.272683
-115.660115,100,154.690831
-121.822485,100,160.14458
-92.993485,100,165.335529
-116.470979,100,170.680274
-116.315715,100,175.804099
-119.293678,100,180.924913
-108.498399,100,186.042021
-116.110512,100,191.357199
-92.790878,100,196.801436
-102.508223,100,201.853361
-80.526937,100,206.864837
-110.913686,100,211.853198
-121.642793,100,216.855324
-126.798433,100,222.170452
-65.72043,100,227.19766
-124.142137,100,232.252519
-123.134171,100,237.383852
-91.053178,100,242.440874
-92.255246,100,247.517261
-114.120602,100,252.582333
-110.700382,100,257.860213
-110.259929,100,263.107389
-100.016086,100,268.161731
-110.989957,100,273.185859
-116.623756,100,278.243438
