#{"t_start": 1742073567.1034722, "env_id": "None"}
r,l,t
-100.330313,100,45.604106
-104.531362,100,50.920033
-111.958227,100,56.158257
-117.766085,100,61.498604
-89.541905,100,66.783761
-75.408008,100,72.225799
-88.722737,100,77.61616
-114.152868,100,83.064168
-111.923807,100,88.284218
-120.300174,100,94.129853
-111.504485,100,100.296879
-104.99744,100,105.861407
-118.690095,100,110.939958
-118.890772,100,116.046185
-78.168966,100,121.513862
-115.525716,100,126.659433
-134.125348,100,131.761249
-90.655409,100,137.009621
-126.022649,100,142.128171
-116.468781,100,147.24199
-93.105614,100,152.352198
-130.250495,100,157.899933
-109.472862,100,163.032205
-80.057078,100,168.150334
-102.569844,100,173.244496
-114.354744,100,179.661637
-86.002183,100,185.115867
-115.477287,100,190.306334
-118.536292,100,195.651572
-130.409368,100,200.775913
-93.533804,100,205.894215
-92.553792,100,211.012797
-105.906245,100,216.328006
-114.346456,100,221.772737
-119.676189,100,226.823159
-114.14594,100,231.834642
-118.99752,100,236.826045
-70.346425,100,241.825111
-117.747035,100,247.140719
-123.125716,100,252.170479
-121.563556,100,257.223813
-88.833605,100,262.354644
-109.338116,100,267.412687
-91.36083,100,272.48804
-120.236923,100,277.554146
-103.196646,100,282.829991
-107.634415,100,288.079706
-107.861485,100,293.133545
-114.780966,100,298.15664
-119.057383,100,303.214739
