#{"t_start": 1742073607.8065786, "env_id": "None"}
r,l,t
-130.681984,100,4.901522
-117.119252,100,10.218933
-73.206844,100,15.457173
-69.215166,100,20.797531
-110.646473,100,26.081185
-128.237667,100,31.5232
-114.429613,100,36.915629
-100.652476,100,42.362587
-125.268307,100,47.582131
-75.089274,100,53.425733
-73.816281,100,59.592251
-116.935914,100,65.158827
-119.959925,100,70.236852
-118.172212,100,75.343078
-106.977043,100,80.813803
-110.482968,100,85.957359
-117.343219,100,91.060653
-69.559214,100,96.307038
-106.545406,100,101.42609
-126.126418,100,106.539917
-116.274005,100,111.648085
-111.772189,100,117.19734
-90.380222,100,122.331124
-126.971847,100,127.448264
-70.727826,100,132.540869
-119.668512,100,138.960058
-117.349412,100,144.413819
-111.596019,100,149.604236
-66.853541,100,154.948465
-119.228251,100,160.072806
-116.390259,100,165.192615
-133.703282,100,170.310728
-101.084344,100,175.625906
-81.728079,100,181.070143
-95.804812,100,186.122587
-119.068967,100,191.133544
-113.40621,100,196.122938
-78.572234,100,201.124031
-89.856596,100,206.439159
-93.785045,100,211.467875
-95.689392,100,216.521226
-129.90037,100,221.652559
-114.430403,100,226.709581
-98.455401,100,231.785968
-105.461662,100,236.85104
-125.546064,100,242.129444
-70.429981,100,247.377147
-91.374273,100,252.430438
-106.403065,100,257.454566
-88.007687,100,262.512146
