#{"t_start": 1742073604.7684455, "env_id": "None"}
r,l,t
-118.749257,100,7.939655
-109.101663,100,13.257066
-77.069297,100,18.495306
-113.927542,100,23.835664
-94.918738,100,29.119318
-129.512663,100,34.561333
-94.645767,100,39.953762
-110.967802,100,45.400208
-106.149249,100,50.620264
-108.418983,100,56.463866
-108.043681,100,62.630384
-82.562689,100,68.19696
-74.942748,100,73.274985
-86.344793,100,78.380704
-89.263521,100,83.851936
-120.340153,100,88.995492
-57.133312,100,94.09577
-118.503117,100,99.345171
-119.276932,100,104.463713
-113.781832,100,109.576499
-65.437269,100,114.688247
-126.658534,100,120.235473
-131.334846,100,125.368753
-120.632963,100,130.485872
-128.405361,100,135.580051
-111.710902,100,141.998191
-113.848156,100,147.45142
-111.105054,100,152.64237
-126.248684,100,157.988119
-89.008015,100,163.11094
-116.52655,100,168.231753
-119.88056,100,173.346776
-101.15596,100,178.664039
-117.469639,100,184.108277
-80.973664,100,189.16072
-124.380696,100,194.171677
-105.502215,100,199.161071
-101.60554,100,204.162164
-94.338029,100,209.477292
-126.824776,100,214.507033
-116.340199,100,219.55936
-129.414084,100,224.68967
-116.366281,100,229.746707
-89.873682,100,234.824101
-85.5133,100,239.889173
-76.516463,100,245.167578
-101.05317,100,250.41528
-87.290543,100,255.468571
-104.465818,100,260.491666
-108.511439,100,265.550279
