#{"t_start": 1742073582.7756987, "env_id": "None"}
r,l,t
-82.069812,100,29.932402
-76.344302,100,35.249813
-107.740813,100,40.488053
-92.700468,100,45.828411
-65.708735,100,51.112065
-106.711925,100,56.55408
-115.258187,100,61.945982
-82.753675,100,67.393467
-70.842804,100,72.613011
-124.930343,100,78.45606
-108.881452,100,84.622602
-111.58388,100,90.18918
-110.605407,100,95.267217
-74.181717,100,100.373451
-132.353939,100,105.844683
-116.195283,100,110.988239
-110.133678,100,116.091533
-112.202949,100,121.337394
-84.905543,100,126.45697
-114.801679,100,131.570276
-91.403923,100,136.680994
-109.789601,100,142.22822
-63.489518,100,147.360495
-101.488111,100,152.478619
-84.797854,100,157.57227
-114.287296,100,163.990938
-110.08708,100,169.444167
-117.638311,100,174.635116
-110.707401,100,179.980866
-79.244904,100,185.103166
-113.502969,100,190.223495
-112.375229,100,195.34109
-83.079052,100,200.656786
-100.341778,100,206.101023
-103.484063,100,211.152948
-97.4378,100,216.164424
-121.942159,100,221.153818
-123.602277,100,226.154399
-87.345402,100,231.469522
-100.268586,100,236.49978
-66.856293,100,241.552106
-119.819798,100,246.683439
-121.198179,100,251.740461
-122.320824,100,256.816324
-122.034533,100,261.881414
-121.541677,100,267.1598
-113.059818,100,272.408027
-61.781698,100,277.461318
-115.521932,100,282.48493
-101.878824,100,287.542513
